cwe,codeguard_tp,codeguard_fp,codeguard_fn,codeguard_precision,codeguard_recall,codeguard_f1,semgrep_tp,semgrep_fp,semgrep_fn,semgrep_precision,semgrep_recall,semgrep_f1,bandit_tp,bandit_fp,bandit_fn,bandit_precision,bandit_recall,bandit_f1,snyk_tp,snyk_fp,snyk_fn,snyk_precision,snyk_recall,snyk_f1
CWE-1004,0,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
CWE-1104,0,1,1,0.0,0.0,0.0,0,1,1,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0
CWE-1333,0,0,2,0.0,0.0,0.0,0,3,2,0.0,0.0,0.0,0,0,2,0.0,0.0,0.0,0,0,2,0.0,0.0,0.0
CWE-1336,0,0,1,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0
CWE-134,0,1,0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
CWE-20,0,1,0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0,0,0,0,0,0
CWE-200,0,5,1,0.0,0.0,0.0,0,5,1,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0
CWE-208,0,4,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CWE-209,0,0,1,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0
CWE-22,4,11,3,0.2667,0.5714,0.3636,2,3,5,0.4,0.2857,0.3333,0,1,7,0.0,0.0,0.0,0,0,7,0.0,0.0,0.0
CWE-23,0,1,0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
CWE-252,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
CWE-256,0,0,1,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0
CWE-259,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0,0,0,0,0,0
CWE-285,0,0,2,0.0,0.0,0.0,0,0,2,0.0,0.0,0.0,0,0,2,0.0,0.0,0.0,0,0,2,0.0,0.0,0.0
CWE-319,0,5,0,0.0,0.0,0.0,0,14,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
CWE-321,0,0,0,0,0,0,0,13,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
CWE-327,0,0,1,0.0,0.0,0.0,0,2,1,0.0,0.0,0.0,0,2,1,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0
CWE-328,0,4,1,0.0,0.0,0.0,0,6,1,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0
CWE-330,0,4,1,0.0,0.0,0.0,0,6,1,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0
CWE-346,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
CWE-352,0,0,0,0,0,0,0,104,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
CWE-353,0,0,0,0,0,0,0,11,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
CWE-400,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0,0,0,0,0,0
CWE-434,0,0,2,0.0,0.0,0.0,0,0,2,0.0,0.0,0.0,0,0,2,0.0,0.0,0.0,0,0,2,0.0,0.0,0.0
CWE-489,0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
CWE-501,0,1,0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
CWE-502,1,4,0,0.2,1.0,0.3333,1,4,0,0.2,1.0,0.3333,1,1,0,0.5,1.0,0.6667,0,0,1,0.0,0.0,0.0
CWE-522,0,2,0,0.0,0.0,0.0,0,2,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
CWE-532,0,0,1,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0
CWE-548,0,4,0,0.0,0.0,0.0,0,4,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
CWE-601,3,7,1,0.3,0.75,0.4286,2,3,2,0.4,0.5,0.4444,0,0,4,0.0,0.0,0.0,0,0,4,0.0,0.0,0.0
CWE-611,0,1,2,0.0,0.0,0.0,0,1,2,0.0,0.0,0.0,0,0,2,0.0,0.0,0.0,0,0,2,0.0,0.0,0.0
CWE-613,0,4,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CWE-639,1,12,2,0.0769,0.3333,0.125,0,3,3,0.0,0.0,0.0,0,0,3,0.0,0.0,0.0,0,0,3,0.0,0.0,0.0
CWE-640,0,0,1,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0
CWE-676,0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
CWE-697,0,0,0,0,0,0,0,9,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
CWE-704,0,1,0,0.0,0.0,0.0,0,6,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
CWE-73,0,4,0,0.0,0.0,0.0,0,4,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
CWE-732,0,2,0,0.0,0.0,0.0,0,2,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
CWE-78,5,16,3,0.2381,0.625,0.3448,4,13,4,0.2353,0.5,0.32,3,7,5,0.3,0.375,0.3333,0,0,8,0.0,0.0,0.0
CWE-79,5,31,5,0.1389,0.5,0.2174,3,35,7,0.0789,0.3,0.125,0,0,10,0.0,0.0,0.0,0,0,10,0.0,0.0,0.0
CWE-798,5,13,5,0.2778,0.5,0.3571,2,6,8,0.25,0.2,0.2222,0,0,10,0.0,0.0,0.0,0,0,10,0.0,0.0,0.0
CWE-89,19,27,5,0.413,0.7917,0.5429,15,27,9,0.3571,0.625,0.4545,5,1,19,0.8333,0.2083,0.3333,0,0,24,0.0,0.0,0.0
CWE-915,0,2,1,0.0,0.0,0.0,0,2,1,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0
CWE-916,1,4,0,0.2,1.0,0.3333,0,0,1,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0
CWE-918,4,10,1,0.2857,0.8,0.4211,5,10,0,0.3333,1.0,0.5,0,0,5,0.0,0.0,0.0,0,0,5,0.0,0.0,0.0
CWE-939,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
CWE-94,0,16,0,0.0,0.0,0.0,0,15,0,0.0,0.0,0.0,0,2,0,0.0,0.0,0.0,0,0,0,0,0,0
CWE-942,0,1,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CWE-943,1,2,1,0.3333,0.5,0.4,0,0,2,0.0,0.0,0.0,0,0,2,0.0,0.0,0.0,0,0,2,0.0,0.0,0.0
CWE-95,1,3,1,0.25,0.5,0.3333,2,5,0,0.2857,1.0,0.4444,0,0,2,0.0,0.0,0.0,0,0,2,0.0,0.0,0.0
CWE-98,1,2,1,0.3333,0.5,0.4,0,0,2,0.0,0.0,0.0,0,0,2,0.0,0.0,0.0,0,0,2,0.0,0.0,0.0
