app,language,loc,gt_total,findings_total,dedup_removed,tp,fp,fn,precision,recall,f1,fp_per_kloc
webgoat,java,71331,10,146,9,10,136,0,0.0685,1.0,0.1282,1.91
nodegoat,javascript,3291,6,15,11,1,14,5,0.0667,0.1667,0.0952,4.25
dvwa,php,11291,5,48,22,2,46,3,0.0417,0.4,0.0755,4.07
flask-app,python,69,7,7,9,2,5,5,0.2857,0.2857,0.2857,72.46
real-app-nodejs,javascript,175,6,7,1,2,5,4,0.2857,0.3333,0.3077,28.57
real-app-python,python,153,6,6,3,2,4,4,0.3333,0.3333,0.3333,26.14
real-app-php,php,151,5,4,2,2,2,3,0.5,0.4,0.4444,13.25
juice-shop,typescript,70848,15,38,2,4,34,11,0.1053,0.2667,0.1509,0.48
railsgoat,ruby,8931,10,30,3,2,28,8,0.0667,0.2,0.1,3.14
vulnpy,python,93,8,17,19,7,10,1,0.4118,0.875,0.56,107.53
xvwa,php,23234,8,14,5,3,11,5,0.2143,0.375,0.2727,0.47
vulnerable-node,javascript,3297,6,23,17,2,21,4,0.087,0.3333,0.1379,6.37
pixi,javascript,6566,6,15,5,0,15,6,0.0,0.0,0.0,2.28
